Ders No,Modül No,Modül,Konu,Ana Yapı,Ders Sonu Kazanımı,Hikâyedeki Doğal Kullanım
1,1,Cümle Kurma Köprüsü,Subject pronouns,"I, you, he, she, it, we, they",Kişi ve gruplar için doğru özne zamirini seçer.,Karakter tanıtımı ve kimin konuştuğunu belirtme
2,1,Cümle Kurma Köprüsü,am / is / are,I am; he/she/it is; you/we/they are,"Kimlik, duygu ve basit durum cümleleri kurar.",Karakterlerin kim ve nasıl olduğunu söyleme
3,1,Cümle Kurma Köprüsü,To be olumsuz,"am not, is not/isn't, are not/aren't",Bir kişi veya durum hakkında olumsuz cümle kurar.,"Yanlış ipuçlarını eleme, 'Bu kapı açık değil' gibi gerilim cümleleri"
4,1,Cümle Kurma Köprüsü,To be soruları,Am I...? Is he/she/it...? Are you/we/they...?,To be ile soru sorar ve kısa cevap verir.,Gizem ve keşif sahnelerinde soru-cevap
5,1,Cümle Kurma Köprüsü,Possessive adjectives,"my, your, his, her, its, our, their",Bir eşyanın veya kişinin kime ait olduğunu söyler.,"Kayıp eşya, harita ve sahiplik gizemi"
6,1,Cümle Kurma Köprüsü,have got / has got,I/you/we/they have got; he/she/it has got,Sahip olunan nesne ve özellikleri anlatır.,Karakterlerin taşıdığı eşya ve ipuçları
7,1,Cümle Kurma Köprüsü,this / that / these / those,"yakın-uzak, tekil-çoğul işaret sözcükleri",Yakındaki ve uzaktaki nesneleri doğru gösterir.,Sahnedeki ipuçlarını işaret etme
8,2,Günlük Hayat,Present Simple olumlu,I/you/we/they play; he/she plays,Günlük rutin ve alışkanlıkları olumlu anlatır.,Karakterin günlük düzeni
9,2,Günlük Hayat,Third person -s,he/she/it + verb-s/-es,Üçüncü tekil şahısta fiili doğru kullanır.,Bir karakterin ne yaptığını anlatma
10,2,Günlük Hayat,Present Simple olumsuz,don't / doesn't,Rutin veya tercih hakkında olumsuz cümle kurar.,Karakterin yapmadığı şeylerden ipucu üretme
11,2,Günlük Hayat,do / does soruları,Do you...? Does he/she...?,Günlük yaşam ve alışkanlıklarla ilgili soru sorar.,Araştırma ve karakter sorgulama sahneleri
12,2,Günlük Hayat,Kısa cevaplar,"Yes, I do. No, she doesn't.",Present Simple sorularına kısa cevap verir.,Hızlı diyalog ve yanlış şüpheli eleme
13,2,Günlük Hayat,Adverbs of frequency,"always, usually, often, sometimes, never",Sıklık zarflarını cümlede doğru yere koyar.,Karakter alışkanlıklarını karşılaştırma
14,2,Günlük Hayat,Saatler ve rutin,"What time...? at seven, in the morning",Saati söyler ve günlük program anlatır.,Zamana bağlı görev veya yarış
15,2,Günlük Hayat,Hobi ve tercihler,like/love/enjoy/hate + noun/verb-ing giriş,Hobi ve tercihlerini basitçe anlatır.,Karakterlerin ortak ilgi alanları
16,3,Ev ve Çevre,There is / There are,There is a...; There are some...,Bir yerde ne bulunduğunu anlatır.,Yeni mekânı keşfetme
17,3,Ev ve Çevre,Yer edatları,"in, on, under, next to, between, behind, in front of",Nesnelerin yerini açıklar.,Gizli anahtar veya nesne arama
18,3,Ev ve Çevre,Oda anlatımı,there is/are + place prepositions,Bir oda veya evi birkaç cümleyle tasvir eder.,Gizemli oda ve görsel ayrıntılar
19,3,Ev ve Çevre,Şehirdeki yerler,"school, library, market, park, hospital, station",Şehirdeki temel yerleri adlandırır.,Pomante kasabasında görev
20,3,Ev ve Çevre,Yön tarifleri,"go straight, turn left/right, across from",Basit yön tarifi verir ve takip eder.,Kaybolma ve hedefe ulaşma macerası
21,3,Ev ve Çevre,Imperatives,"Open, stop, follow, don't touch",Talimat verir ve basit uyarıları anlar.,Görev zinciri ve güvenlik uyarıları
22,4,Şu An,Present Continuous olumlu,am/is/are + verb-ing,Şu anda yapılan eylemi anlatır.,Canlı aksiyon sahneleri
23,4,Şu An,Present Continuous olumsuz,am/is/are not + verb-ing,Şu anda yapılmayan eylemi söyler.,Yanlış gözlemi düzeltme
24,4,Şu An,Present Continuous soruları,Am/Is/Are + subject + verb-ing?,Şu anda ne olduğunu sorar ve yanıtlar.,Hareketli sahnede soru-cevap
25,4,Şu An,-ing yazım kuralları,"make→making, run→running, play→playing",Fiillere -ing ekini doğru getirir.,Hareket günlüğü ve kelime bulmacası
26,4,Şu An,Present Simple vs Present Continuous,routine vs now,Alışkanlıkla o anki eylemi ayırır.,Normal düzeni bozan olayı fark etme
27,4,Şu An,Resim anlatma,there is/are + present continuous + place words,Bir görseli düzenli cümlelerle anlatır.,Hikâye sahnesini kanıt olarak betimleme
28,5,Yiyecek ve Alışveriş,Countable / uncountable,"apple/apples; water, bread, rice",Sayılabilen ve sayılamayan isimleri ayırır.,Piknik veya mutfak hazırlığı
29,5,Yiyecek ve Alışveriş,a / an / some,"a banana, an apple, some milk",İsim türüne göre uygun belirleyiciyi seçer.,Sepet hazırlama
30,5,Yiyecek ve Alışveriş,some / any,some in positives; any in questions/negatives,"Olumlu, olumsuz ve soruda some/any kullanır.",Eksik malzemeyi bulma
31,5,Yiyecek ve Alışveriş,much / many,much water; many apples,Miktar sorar ve isim türüne uygun sözcüğü seçer.,Stok ve alışveriş kontrolü
32,5,Yiyecek ve Alışveriş,a few / a little,a few eggs; a little sugar,Az miktarı doğru isim türüyle anlatır.,Tarif veya son kalan malzeme
33,5,Yiyecek ve Alışveriş,Fiyatlar,How much is/are...? It is/They are...,"Fiyat sorar, söyler ve basit toplamı anlar.",Pazar veya dükkân sahnesi
34,5,Yiyecek ve Alışveriş,Restoran diyaloğu,"I'd like..., Can I have...?, Here you are.",Basit sipariş verir ve kısa restoran diyaloğu kurar.,Poma kafe macerası
35,6,Yetenek ve Kurallar,can / can't,ability and permission,Yetenek ve temel izin durumlarını anlatır.,Takımın kimin ne yapabildiğini keşfetme
36,6,Yetenek ve Kurallar,could,past ability / polite request,Geçmişteki yeteneği veya nazik isteği ifade eder.,Dede Poma'nın eski yeteneği ve yardım isteme
37,6,Yetenek ve Kurallar,should,advice,Basit tavsiye verir.,Bir sorunu çözmek için öneri sunma
38,6,Yetenek ve Kurallar,must / mustn't,strong rule / prohibition,Güçlü zorunluluk ve yasağı ayırır.,Eski bahçenin kuralları
39,6,Yetenek ve Kurallar,have to,external obligation,Günlük zorunlulukları anlatır.,Görevi tamamlamak için yapılması gerekenler
40,6,Yetenek ve Kurallar,Okul ve sağlık kuralları,"can, should, must, have to",Kural ve tavsiyeleri gerçek yaşam bağlamında uygular.,Okul/sağlık temalı karar sahneleri
41,7,Geçmiş,was / were,I/he/she/it was; you/we/they were,Geçmişteki durum ve yeri anlatır.,Dün ne olduğu hakkında giriş
42,7,Geçmiş,Past Simple düzenli fiiller,"played, opened, visited",Düzenli fiillerle geçmiş olayı anlatır.,Olay sırasını kurma
43,7,Geçmiş,Past Simple düzensiz fiiller,"went, saw, found, came, took",Temel düzensiz fiillerle geçmiş olay anlatır.,Macera ve keşif
44,7,Geçmiş,did / didn't,did not + base verb,Geçmişte yapılmayan eylemi anlatır.,Şüpheliyi eleme
45,7,Geçmiş,Past Simple soruları,Did you...? Where did...?,Geçmiş olay hakkında soru sorar.,Soruşturma sahnesi
46,7,Geçmiş,Geçmiş hikâye anlatma,"first, then, after that, finally",Geçmiş olayları sıraya koyar.,Tam anlatı kurma
47,7,Geçmiş,Past Continuous,was/were + verb-ing,Geçmişte devam eden arka plan eylemini anlatır.,Olay olurken ne yapılıyordu?
48,8,Karşılaştırma,Comparative adjectives,"bigger, faster, more careful","İki kişi, nesne veya yeri karşılaştırır.",Yarışma veya seçim
