Story,Ders Bandı,Çalışma Başlığı,Ana Olay,Hedef Yapılar,Eğitim Notu,Erişim,Önerilen Açılma
1,Ders 1–2,Meet the Pomas / Pomaları Tanıyalım,Karakterlerin tanıtılması,Subject pronouns; am/is/are,Mevcut hikâye. Temel tanıtım görevi görür; tam macera olmak zorunda değildir.,Ücretsiz,Her zaman açık
2,Ders 3–4,The Light in the Old Tree / Ulu Ağaçtaki Işık,Gece ulu ağacın içinde bilinmeyen bir ışık yanar; Pomalar hangi kapının açık olmadığını ve içeride kimin olduğunu sorar.,To be olumsuz; to be soruları,"Gerçek merak unsuru taşıyan ilk tam hikâye. 8–10 sahne, kısa ve net cümleler.",Ücretsiz,Ders 4 sonrası önerilir
3,Ders 5–7,Whose Map Is This? / Bu Harita Kimin?,"Bahçede bulunan haritanın kime ait olduğu, üzerindeki nesneler ve işaretler üzerinden çözülür.",Possessive adjectives; have got/has got; this/that/these/those,Sahiplik ve işaret sözcükleri anlatının doğal parçası olur.,Veli izniyle açılır,Ders 7 sonrası
4,Ders 8–10,Poma's Morning Problem / Poma'nın Sabah Sorunu,Poma'nın her gün yaptığı rutinlerden biri bugün yanlış gider.,Present Simple olumlu; third person -s; olumsuz,Rutin ile beklenmeyen problem arasında gerilim kurulur.,Veli izniyle açılır,Ders 10 sonrası
5,Ders 11–12,Does Dede Know? / Dede Biliyor mu?,Pomalar Dede Poma'nın gizli yolu bilip bilmediğini sorularla öğrenir.,do/does soruları; kısa cevaplar,Diyalog merkezli mini gizem.,Veli izniyle açılır,Ders 12 sonrası
6,Ders 13–15,The Saturday Challenge / Cumartesi Görevi,"Karakterler alışkanlıklarına, saatlerine ve hobilerine göre takım kurar.",Adverbs of frequency; saatler/rutin; hobiler,Karakter özelliklerini derinleştirir.,Veli izniyle açılır,Ders 15 sonrası
7,Ders 16–18,The Room Behind the Tree / Ağacın Arkasındaki Oda,Ulu ağacın arkasında gizli bir oda bulunur; içindeki nesnelerin yeri tarif edilir.,There is/are; yer edatları; oda anlatımı,Görsel keşif hikâyesi.,Veli izniyle açılır,Ders 18 sonrası
8,Ders 19–21,Lost in Pomante Town / Pomante Kasabasında Kayıp,Bir mesaj yanlış yere gider; karakterler kasaba içinde yön tarifi ve talimatlarla ilerler.,Şehir yerleri; yön tarifleri; imperatives,Harita tabanlı macera.,Veli izniyle açılır,Ders 21 sonrası
9,Ders 22–24,What Are They Doing? / Ne Yapıyorlar?,Kasabada aynı anda birçok garip olay olur; Pomalar kimin ne yaptığını araştırır.,Present Continuous olumlu/olumsuz/soru,Aksiyon ve gözlem temelli.,Veli izniyle açılır,Ders 24 sonrası
10,Ders 25–27,The Moving Picture Mystery / Hareket Eden Resmin Sırrı,Bir tablodaki görüntü her bakıldığında değişir; rutin ve o anki eylem karşılaştırılır.,-ing yazımı; Simple vs Continuous; resim anlatma,Dilbilgisi doğrudan kanıt toplama aracıdır.,Veli izniyle açılır,Ders 27 sonrası
11,Ders 28–30,The Picnic Basket / Piknik Sepeti,"Piknik için gerekenler sayılır; bazı malzemeler vardır, bazıları yoktur.",Countable/uncountable; a/an/some; some/any,Somut nesnelerle kolay anlaşılır.,Veli izniyle açılır,Ders 30 sonrası
12,Ders 31–34,The Moonlight Café / Ay Işığı Kafesi,"Kafe açılışında miktar, fiyat ve sipariş sorunları çözülür.",much/many; a few/a little; prices; restaurant dialogue,Günlük yaşam ve rol yapma.,Veli izniyle açılır,Ders 34 sonrası
13,Ders 35–37,The Brave Little Helper / Cesur Küçük Yardımcı,Takımdaki herkesin yapabildiği şeyler farklıdır; doğru tavsiye ile sorun çözülür.,can/can't; could; should,"Yetenek, yardım ve tavsiye.",Veli izniyle açılır,Ders 37 sonrası
14,Ders 38–40,The Rules of the Old Garden / Eski Bahçenin Kuralları,"Bahçeye girmek için kurallar okunur; bazıları zorunlu, bazıları yasaktır.",must/mustn't; have to; okul-sağlık kuralları,Kural dilini maceraya bağlar.,Veli izniyle açılır,Ders 40 sonrası
15,Ders 41–43,Yesterday at the Castle / Dün Kalede,Kalede dün olanlar düzenli ve düzensiz fiillerle anlatılır.,was/were; regular/irregular Past Simple,Geçmiş zamanın ilk tam macerası.,Veli izniyle açılır,Ders 43 sonrası
